bid/I ch/I l/I w/I  xhv yhv xc yc xro yro
12 8 1 151 -50.379703 -527.600119 0.000000 -527.600119 50.379703 -527.600119
12 18 1 152 -33.614677 -528.932939 16.739661 -527.334495 67.094000 -525.736051
12 21 1 153 -16.815805 -529.733167 33.462468 -526.537889 83.740740 -523.342611
12 23 1 154 -0.000000 -530.000000 50.151580 -525.211105 100.303160 -520.422210
12 25 1 155 16.815805 -529.733167 66.790194 -523.355477 116.764582 -516.977787
12 24 1 156 33.614677 -528.932939 83.361555 -520.972875 133.108433 -513.012812
12 36 1 157 50.379703 -527.600119 99.848979 -518.065697 149.318255 -508.531276
12 42 1 158 67.094000 -525.736051 116.235863 -514.636872 165.377726 -503.537692
12 44 1 159 83.740740 -523.342611 132.505708 -510.689850 181.270676 -498.037089
12 46 1 160 100.303160 -520.422210 148.642131 -506.228607 196.981101 -492.035004
13 0 1 161 116.764582 -516.977787 164.628883 -501.257635 212.493184 -485.537482
13 2 1 162 133.108433 -513.012812 180.449868 -495.781939 227.791303 -478.551065
13 4 1 163 149.318255 -508.531276 196.089156 -489.807032 242.860057 -471.082788
13 16 1 164 165.377726 -503.537692 211.530998 -483.338931 257.684270 -463.140170
13 21 1 165 181.270676 -498.037089 226.759847 -476.384149 272.249018 -454.731209
13 23 1 166 196.981101 -492.035004 241.760367 -468.949688 286.539633 -445.864372
13 25 1 167 212.493184 -485.537482 256.517456 -461.043035 300.541728 -436.548588
13 24 1 168 227.791303 -478.551065 271.016253 -452.672151 314.241202 -426.793236
13 28 1 169 242.860057 -471.082788 285.242160 -443.845464 327.624263 -416.608140
13 40 1 170 257.684270 -463.140170 299.180852 -434.571862 340.677433 -406.003555
13 42 1 171 272.249018 -454.731209 312.818294 -424.860684 353.387570 -394.990158
13 44 1 172 286.539633 -445.864372 326.140755 -414.721706 365.741876 -383.579040
14 0 1 173 300.541728 -436.548588 339.134819 -404.165139 377.727911 -371.781690
14 2 1 174 314.241202 -426.793236 351.787404 -393.201612 389.333606 -359.609988
14 4 1 175 327.624263 -416.608140 364.085769 -381.842165 400.547274 -347.076189
14 10 1 176 340.677433 -406.003555 376.017530 -370.098234 411.357626 -334.192914
14 20 1 177 353.387570 -394.990158 387.570673 -357.981646 421.753775 -320.973134
14 22 1 178 365.741876 -383.579040 398.733565 -345.504601 431.725255 -307.430162
14 25 1 179 377.727911 -371.781690 409.494967 -332.679662 441.262023 -293.577634
14 24 1 180 389.333606 -359.609988 419.844042 -319.519743 450.354478 -279.429498
14 26 1 181 400.547274 -347.076189 429.770369 -306.038094 458.993464 -265.000000
14 39 1 182 411.357626 -334.192914 439.263954 -292.248292 467.170283 -250.303670
14 44 1 183 421.753775 -320.973134 448.315238 -278.164219 474.876700 -235.355305
14 46 1 184 431.725255 -307.430162 456.915106 -263.800059 482.104958 -220.169957
14 45 1 185 441.262023 -293.577634 465.054899 -249.170275 488.847776 -204.762917
15 0 1 186 450.354478 -279.429498 472.726422 -234.289598 495.098366 -189.149697
15 2 1 187 458.993464 -265.000000 479.921949 -219.173010 500.850434 -173.346021
15 6 1 188 467.170283 -250.303670 486.634235 -203.835734 506.098188 -157.367799
15 16 1 189 474.876700 -235.355305 492.856522 -188.293213 510.836344 -141.231121
15 21 1 190 482.104958 -220.169957 498.582544 -172.561096 515.060131 -124.952236
15 23 1 191 488.847776 -204.762917 503.806536 -156.655225 518.765296 -108.547534
15 25 1 192 495.098366 -189.149697 508.523238 -140.591616 521.948109 -92.033534
15 24 1 193 500.850434 -173.346021 512.727899 -124.386442 524.605364 -75.426864
15 34 1 194 506.098188 -157.367799 516.416287 -108.056022 526.734386 -58.744246
15 38 1 195 510.836344 -141.231121 519.584688 -91.616799 528.333031 -42.002477
15 40 1 196 515.060131 -124.952236 522.229910 -75.085326 529.399690 -25.218415
11 1 2 141 -100.327237 -536.703312 -148.782593 -522.916575 -197.237950 -509.129837
11 5 2 142 -83.751844 -539.538348 -132.608782 -527.250334 -181.465721 -514.962321
11 11 2 143 -67.097007 -541.861598 -116.309183 -531.083965 -165.521360 -520.306332
11 15 2 144 -50.378524 -543.670860 -99.899258 -534.413831 -149.419993 -525.156801
11 21 2 145 -33.612255 -544.964417 -83.394573 -537.236772 -133.176891 -529.509127
11 23 2 146 -16.814102 -545.741043 -66.810783 -539.550112 -116.807463 -533.359181
11 25 2 147 -0.000000 -546.000000 -50.163618 -541.351656 -100.327237 -536.703312
11 27 2 148 16.814102 -545.741043 -33.468871 -542.639695 -83.751844 -539.538348
11 33 2 149 33.612255 -544.964417 -16.742376 -543.413008 -67.097007 -541.861598
11 39 2 150 50.378524 -543.670860 -0.000000 -543.670860 -50.378524 -543.670860
11 45 2 151 67.097007 -541.861598 16.742376 -543.413008 -33.612255 -544.964417
11 47 2 152 83.751844 -539.538348 33.468871 -542.639695 -16.814102 -545.741043
