l c x y
11 222 60.518448 596.883706
11 223 52.288553 597.660897
11 224 44.048731 598.324619
11 225 35.800547 598.874746
11 226 27.545565 599.311174
11 227 19.285354 599.633818
11 228 11.021481 599.842619
11 229 2.755516 599.937537
11 230 -5.510973 599.918553
11 231 -13.776415 599.785671
11 232 -22.039242 599.538917
11 233 -30.297884 599.178337
11 234 -38.550774 598.703999
11 235 -46.796345 598.115995
11 236 -55.033032 597.414434
11 237 -63.259270 596.599452
11 238 -71.473498 595.671201
11 239 -79.674156 594.629859
11 240 -87.859688 593.475624
12 218 94.547505 600.519183
12 219 86.264289 601.764898
12 220 77.964695 602.896365
12 221 69.650299 603.913368
12 222 61.322680 604.815715
12 223 52.983418 605.603235
12 224 44.634096 606.275777
12 225 36.276301 606.833215
12 226 27.911619 607.275442
12 227 19.541637 607.602374
12 228 11.167946 607.813950
12 229 2.792134 607.910129
12 230 -5.584208 607.890892
12 231 -13.959490 607.756245
12 232 -22.332122 607.506211
12 233 -30.700514 607.140839
12 234 -39.063077 606.660199
12 235 -47.418223 606.064380
12 236 -55.764368 605.353497
12 237 -64.099924 604.527684
12 238 -72.423312 603.587098
12 239 -80.732949 602.531917
12 240 -89.027259 601.362343
13 236 94.729001 608.668636
13 237 86.548962 609.885538
13 238 78.353323 610.992511
13 239 70.143561 611.989357
13 240 61.921156 612.875895
13 241 53.687590 613.651966
13 242 45.444348 614.317429
13 243 37.192914 614.872165
13 244 28.934776 615.316074
13 245 20.671423 615.649076
13 246 12.404345 615.871110
13 247 4.135030 615.982138
13 248 -4.135030 615.982138
13 249 -12.404345 615.871110
13 250 -20.671423 615.649076
13 251 -28.934776 615.316074
13 252 -37.192914 614.872165
13 253 -45.444348 614.317429
13 254 -53.687590 613.651966
13 255 -61.921156 612.875895
13 256 -70.143561 611.989357
13 257 -78.353323 610.992511
13 258 -86.548962 609.885538
14 236 95.955267 616.547842
14 237 87.669337 617.780496
14 238 79.367605 618.901800
14 239 71.051568 619.911549
14 240 62.722725 620.809564
14 241 54.382575 621.595680
14 242 46.032624 622.269758
14 243 37.674376 622.831675
14 244 29.309337 623.281331
14 245 20.939015 623.618643
14 246 12.564919 623.843552
14 247 4.188558 623.956016
14 248 -4.188558 623.956016
14 249 -12.564919 623.843552
14 250 -20.939015 623.618643
14 251 -29.309337 623.281331
14 252 -37.674376 622.831675
14 253 -46.032624 622.269758
14 254 -54.382575 621.595680
14 255 -62.722725 620.809564
14 256 -71.051568 619.911549
14 257 -79.367605 618.901800
14 258 -87.669337 617.780496
15 230 87.963745 625.894565
15 231 79.763502 626.992353
15 232 71.549592 627.982709
15 233 63.323422 628.865464
15 234 55.086403 629.640465
15 235 46.839944 630.307581
15 236 38.585460 630.866697
15 237 30.324365 631.317717
15 238 22.058073 631.660564
15 239 13.788002 631.895180
15 240 5.515568 632.021523
15 241 -2.757810 632.039573
15 242 -11.030717 631.949326
15 243 -19.301733 631.750798
15 244 -27.569441 631.444022
15 245 -35.832426 631.029052
15 246 -44.089272 630.505958
15 247 -52.338562 629.874831
15 248 -60.578885 629.135777
15 249 -68.808828 628.288924
15 250 -77.026981 627.334418
15 251 -85.231936 626.272420
16 230 89.073697 633.792289
16 231 80.769981 634.903929
16 232 72.452426 635.906781
16 233 64.122456 636.800675
16 234 55.781499 637.585455
16 235 47.430985 638.260989
16 236 39.072343 638.827160
16 237 30.707006 639.283872
16 238 22.336408 639.631045
16 239 13.961983 639.868621
16 240 5.585165 639.996558
16 241 -2.792609 640.014836
16 242 -11.169905 639.923450
16 243 -19.545288 639.722417
16 244 -27.917321 639.411770
16 245 -36.284571 638.991564
16 246 -44.645603 638.461869
16 247 -52.998986 637.822778
16 248 -61.343287 637.074399
16 249 -69.677078 636.216860
16 250 -77.998930 635.250309
16 251 -86.307418 634.174911
