l1/I l2/I w1/I w2/I z x
3 4 0 5 551.327005 31.285401
3 4 0 6 676.359988 22.910337
3 4 0 7 801.680313 14.516026
3 4 0 8 927.341997 6.098850
3 4 0 9 1053.399572 -2.344844
3 4 1 0 -195.666300 64.712880
3 4 1 1 -71.264180 56.353195
3 4 1 2 53.108421 47.995493
3 4 1 3 177.503871 39.636256
3 4 1 4 301.974596 31.271961
3 4 1 5 426.573138 22.899076
3 4 1 6 551.352259 14.514057
3 4 1 7 676.365022 6.113337
3 4 1 8 801.664915 -2.306677
3 4 1 9 927.305857 -10.749610
3 4 2 0 -320.031748 56.423312
3 4 2 1 -195.563781 48.039796
3 4 2 2 -71.177824 39.661804
3 4 2 3 53.178509 31.285808
3 4 2 4 177.557580 22.908280
3 4 2 5 302.011775 14.525692
3 4 2 6 426.593613 6.134507
3 4 2 7 551.355823 -2.268827
3 4 2 8 676.351463 -10.687884
3 4 2 9 801.633939 -19.126261
3 4 3 0 -444.540554 48.124188
3 4 3 1 -319.950755 39.720554
3 4 3 2 -195.495600 31.326001
3 4 3 3 -71.122589 22.936989
3 4 3 4 53.220672 14.549984
3 4 3 5 177.586507 6.161457
3 4 3 6 302.027286 -2.232126
3 4 3 7 426.595499 -10.634304
3 4 3 8 551.343874 -19.048635
3 4 3 9 676.325399 -27.478691
3 4 4 0 -569.249052 39.811754
3 4 4 1 -444.481219 31.391715
3 4 4 2 -319.900897 22.984330
3 4 4 3 -195.455380 14.586042
3 4 4 4 -71.092150 6.193308
3 4 4 5 53.241154 -2.197407
3 4 4 6 177.596844 -10.589632
3 4 4 7 302.027268 -18.986901
3 4 4 8 426.584918 -27.392756
3 4 4 9 551.322462 -35.810751
3 4 5 0 -694.213898 31.482233
3 4 5 1 -569.211509 23.049511
3 4 5 2 -444.449830 14.633027
3 4 5 3 -319.875853 6.229206
3 4 5 4 -195.436838 -2.165511
3 4 5 5 -71.080299 -10.554663
3 4 5 6 53.246118 -18.941784
3 4 5 7 177.594710 -27.330401
3 4 5 8 302.017828 -35.724045
3 4 5 9 426.567918 -44.126254
3 4 6 0 -819.492243 23.131815
3 4 6 1 -694.198350 14.690148
3 4 6 2 -569.198795 6.268312
3 4 6 3 -444.440169 -2.137292
3 4 6 4 -319.869418 -10.530238
3 4 6 5 -195.433832 -18.914077
3 4 6 6 -71.080925 -27.292345
3 4 6 7 53.241647 -35.668570
3 4 6 8 177.586187 -44.046274
3 4 6 9 302.005013 -52.428984
3 4 7 0 -945.141790 14.756655
3 4 7 1 -819.498917 6.309803
3 4 7 2 -694.204537 -2.113621
3 4 7 3 -569.204741 -10.517240
3 4 7 4 -444.446065 -18.904649
3 4 7 5 -319.875479 -27.279413
3 4 7 6 -195.440268 -35.645076
3 4 7 7 -71.087952 -44.005166
3 4 7 8 53.233823 -52.363202
3 4 7 9 177.577339 -60.722700
3 4 8 0 -1071.220940 6.352861
3 4 8 1 -945.170974 -2.095388
3 4 8 2 -819.524283 -10.516609
3 4 8 3 -694.226361 -18.914453
3 4 8 4 -569.223230 -27.292540
3 4 8 5 -444.461448 -35.654451
3 4 8 6 -319.887975 -44.003741
3 4 8 7 -195.450095 -52.343944
3 4 8 8 -71.095314 -60.678576
3 4 8 9 53.228711 -69.011147
4 5 0 0 71.703735 79.936458
4 5 0 1 -53.179073 71.612405
4 5 0 2 -178.083702 63.286898
4 5 0 3 -303.059995 54.956614
4 5 0 4 -428.157922 46.618222
4 5 0 5 -553.427656 38.268379
4 5 0 6 -678.919638 29.903721
4 5 0 7 -804.684660 21.520864
4 5 0 8 -930.773946 13.116394
4 5 0 9 -1057.239288 4.686857
4 5 1 0 196.462791 71.661345
4 5 1 1 71.571494 63.308373
4 5 1 2 -53.291783 54.957275
4 5 1 3 -178.176822 46.604721
4 5 1 4 -303.133444 38.247379
4 5 1 5 -428.211594 29.881910
4 5 1 6 -553.461407 21.504959
4 5 1 7 -678.933285 13.113156
4 5 1 8 -804.677982 4.703107
4 5 1 9 -930.746727 -3.728616
4 5 2 0 321.304653 63.380741
4 5 2 1 196.351857 55.002358
4 5 2 2 71.476960 46.629198
4 5 2 3 -53.369838 38.257923
4 5 2 4 -178.238296 29.885196
4 5 2 5 -303.178217 21.507676
4 5 2 6 -428.239514 13.122018
4 5 2 7 -553.472289 4.724862
4 5 2 8 -678.926911 -3.687169
4 5 2 9 -804.654139 -12.117479
4 5 3 0 446.282498 55.091116
4 5 3 1 321.215081 46.690827
4 5 3 2 196.275571 38.299129
4 5 3 3 71.414061 29.912670
4 5 3 4 -53.419229 21.528106
4 5 3 5 -178.274043 13.142096
4 5 3 6 -303.200161 4.751298
4 5 3 7 -428.247468 -3.647641
4 5 3 8 -553.466036 -12.058082
4 5 3 9 -678.906244 -20.483410
4 5 4 0 571.449735 46.788930
4 5 4 1 446.214383 38.370238
4 5 4 2 321.157159 29.963520
4 5 4 3 196.227963 21.565409
4 5 4 4 71.376908 13.172551
4 5 4 5 -53.445776 4.781600
4 5 4 6 -178.289818 -3.610786
4 5 4 7 -303.204974 -12.007953
4 5 4 8 -428.241105 -20.413253
4 5 4 9 -553.448294 -28.830051
4 5 5 0 696.860088 38.470617
4 5 5 1 571.403204 30.037034
4 5 5 2 446.174963 21.618820
4 5 5 3 321.124991 13.212590
4 5 5 4 196.203208 4.814977
4 5 5 5 71.359732 -3.577371
4 5 5 6 -53.455198 -11.967801
4 5 5 7 -178.291295 -20.359654
4 5 5 8 -303.198294 -28.756272
4 5 5 9 -428.226067 -37.161010
4 5 6 0 822.567703 30.132588
4 5 6 1 696.835308 21.687635
4 5 6 2 571.382458 13.261458
4 5 6 3 446.158415 4.850649
4 5 6 4 321.112819 -3.548175
4 5 6 5 196.195595 -11.938376
4 5 6 6 71.356861 -20.323305
4 5 6 7 -53.453135 -28.706305
4 5 6 8 -178.284087 -37.090711
4 5 6 9 -303.185742 -45.479867
4 5 7 0 948.627226 21.771218
4 5 7 1 822.564871 13.318436
4 5 7 2 696.833436 4.887844
4 5 7 3 571.381729 -3.523992
4 5 7 4 446.159027 -11.920472
4 5 7 5 321.114972 -20.304974
4 5 7 6 196.199479 -28.680855
4 5 7 7 71.362671 -37.051461
4 5 7 8 -53.445189 -45.420125
4 5 7 9 -178.273810 -53.790182
4 5 8 0 1075.093944 13.382838
4 5 8 1 948.646611 4.925795
4 5 8 2 822.582134 -3.505642
4 5 8 3 696.848780 -11.914933
4 5 8 4 571.395374 -20.305500
4 5 8 5 446.171188 -28.680737
4 5 8 6 321.125847 -37.044012
4 5 8 7 196.209265 -45.398676
4 5 8 8 71.371578 -53.748063
4 5 8 9 -53.436970 -62.095501
4 5 9 0 1202.023780 4.963741
4 5 9 1 1075.135787 -3.493968
4 5 9 2 948.683243 -11.922651
4 5 9 3 822.613781 -20.325800
4 5 9 4 696.875682 -28.706863
4 5 9 5 571.417762 -37.069250
4 5 9 6 446.189268 -45.416344
4 5 9 7 321.139820 -53.751504
4 5 9 8 196.219339 -62.078068
4 5 9 9 71.377940 -70.399361
5 6 0 0 -9.333780 82.713626
5 6 0 1 116.042708 74.397560
5 6 0 2 241.463708 66.078542
5 6 0 3 366.976704 57.753421
5 6 0 4 492.629346 49.419039
5 6 0 5 618.469473 41.072220
5 6 0 6 744.545218 32.709773
5 6 0 7 870.905093 24.328481
5 6 0 8 997.597995 15.925099
5 6 0 9 1124.673398 7.496346
5 6 0 10 1252.181308 -0.961095
5 6 1 0 -134.563321 74.431805
5 6 1 1 -9.203372 66.087210
5 6 1 2 116.153635 57.742810
5 6 1 3 241.555095 49.395451
5 6 1 4 367.048483 41.041974
5 6 1 5 492.681398 32.679208
5 6 1 6 618.501658 24.303972
5 6 1 7 744.557381 15.913062
5 6 1 8 870.897005 7.503255
5 6 1 9 997.569455 -0.928707
5 6 1 10 1124.624118 -9.386112
5 6 2 0 -259.846330 66.146448
5 6 2 1 -134.452562 57.776653
5 6 2 2 -9.109189 49.410222
5 6 2 3 116.231169 41.043991
5 6 2 4 241.615894 32.674799
5 6 2 5 367.092417 24.299480
5 6 2 6 492.708319 15.914858
5 6 2 7 618.511407 7.517741
5 6 2 8 744.549736 -0.895077
5 6 2 9 870.871766 -9.326832
5 6 2 10 997.526347 -17.780784
5 6 3 0 -385.233259 57.854219
5 6 3 1 -259.755263 49.462546
5 6 3 2 -134.375191 41.077422
5 6 3 3 -9.045599 32.695673
5 6 3 4 116.280873 24.314134
5 6 3 5 241.651568 15.929637
5 6 3 6 367.113909 7.539010
5 6 3 7 492.715465 -0.860926
5 6 3 8 618.503990 -9.273367
5 6 3 9 744.527558 -17.701527
5 6 3 10 870.834566 -26.148642
5 6 4 0 -510.774739 49.551769
5 6 4 1 -385.161968 41.141538
5 6 4 2 -259.694803 32.741055
5 6 4 3 -134.325660 24.347136
5 6 4 4 -9.007122 15.956605
5 6 4 5 116.308141 7.566293
5 6 4 6 241.667469 -0.826969
5 6 4 7 367.118273 -9.226356
5 6 4 8 492.708082 -17.635050
5 6 4 9 618.484663 -26.056248
5 6 4 10 744.496039 -34.493167
5 6 5 0 -636.521659 41.235732
5 6 5 1 -510.723349 32.810267
5 6 5 2 -385.118554 24.397762
5 6 5 3 -259.659476 15.995017
5 6 5 4 -134.298564 7.598846
5 6 5 5 -8.988424 -0.793923
5 6 5 6 116.318277 -9.186463
5 6 5 7 241.668869 -17.581942
5 6 5 8 367.110731 -25.983534
5 6 5 9 492.691403 -34.394423
5 6 5 10 618.458611 -42.817806
5 6 6 0 -762.525229 32.902722
5 6 6 1 -636.490314 24.465354
5 6 6 2 -510.697134 16.044169
5 6 6 3 -385.097593 7.635947
5 6 6 4 -259.643931 -0.762509
5 6 6 5 -134.288614 -9.154382
5 6 6 6 -8.984240 -17.542844
5 6 6 7 116.316515 -25.931064
5 6 6 8 241.660960 -34.322209
5 6 6 9 367.096483 -42.719451
5 6 6 10 492.670592 -51.125971
5 6 7 0 -888.837064 24.549326
5 6 7 1 -762.514101 16.103401
5 6 7 2 -636.481475 7.676889
5 6 7 3 -510.690718 -0.733453
5 6 7 4 -385.093784 -9.130835
5 6 7 5 -259.642920 -17.518451
5 6 7 6 -134.290578 -25.899480
5 6 7 7 -8.989364 -34.277091
5 6 7 8 116.308035 -42.654447
5 6 7 9 241.648933 -51.034711
5 6 7 10 367.080697 -59.421050
5 6 8 0 -1015.509279 16.172097
5 6 8 1 -888.846354 7.720981
5 6 8 2 -762.522836 -0.707489
5 6 8 3 -636.489803 -9.116577
5 6 8 4 -510.698842 -17.509514
5 6 8 5 -385.101907 -25.889505
5 6 8 6 -259.651226 -34.259738
5 6 8 7 -134.299258 -42.623385
5 6 8 8 -8.998609 -50.983608
5 6 8 9 116.298036 -59.343564
5 6 8 10 241.637979 -67.706408
5 6 9 0 -1142.594615 7.767546
5 6 9 1 -1015.539260 -0.685369
5 6 9 2 -888.872928 -9.112403
5 6 9 3 -762.546163 -17.516846
5 6 9 4 -636.510107 -25.901948
5 6 9 5 -510.716339 -34.270931
5 6 9 6 -385.116787 -42.626993
5 6 9 7 -259.663686 -50.973312
5 6 9 8 -134.309484 -59.313051
5 6 9 9 -9.006789 -67.649363
5 6 9 10 116.291712 -75.985396
6 7 0 0 72.258462 85.511627
