l s x y 
1  1   88.45152270  504.35949640
 1  1   80.43823950  505.69938010
 1  1   72.40470650  506.91195680
 1  1   64.35294600  507.99692110
 1  1   56.28498500  508.95399980
 1  1   48.20285450  509.78295210
 1  1   40.10858920  510.48356930
 1  1   32.00422680  511.05567500
 1  1   23.89180750  511.49912510
 1  1   15.77337350  511.81380810
 1  1    7.65096870  511.99964470
 1  1   -0.47336210  512.05658810
 1  1   -8.59757390  511.98462400
 1  1  -16.71962120  511.78377050
 1  1  -24.83745950  511.45407820
 1  1  -32.94904500  510.99563000
 1  1  -41.05233580  510.40854140
 1  1  -49.14529190  509.69296030
 1 -1   88.45152270  504.35949640
 1 -1   80.43823950  505.69938010
 1 -1   72.40470650  506.91195680
 1 -1   64.35294600  507.99692110
 1 -1   56.28498500  508.95399980
 1 -1   48.20285450  509.78295210
 1 -1   40.10858920  510.48356930
 1 -1   32.00422680  511.05567500
 1 -1   23.89180750  511.49912510
 1 -1   15.77337350  511.81380810
 1 -1    7.65096870  511.99964470
 1 -1   -0.47336210  512.05658810
 1 -1   -8.59757390  511.98462400
 1 -1  -16.71962120  511.78377050
 1 -1  -24.83745950  511.45407820
 1 -1  -32.94904500  510.99563000
 1 -1  -41.05233580  510.40854140
 1 -1  -49.14529190  509.69296030
 2  1   49.94827490  517.62075810
 2  1   41.72943560  518.34808150
 2  1   33.50009110  518.94491360
 2  1   25.26231310  519.41110400
 2  1   17.01817550  519.74653540
 2  1    8.76975370  519.95112350
 2  1    0.51912410  520.02481660
 2  1   -7.73163620  519.96759630
 2  1  -15.98045010  519.77947690
 2  1  -24.22524100  519.46050580
 2  1  -32.46393330  519.01076330
 2  1  -40.69445300  518.43036260
 2  1  -48.91472800  517.71944990
 2  1  -57.12268910  516.87820400
 2  1  -65.31626980  515.90683680
 2  1  -73.49340750  514.80559290
 2  1  -81.65204370  513.57474940
 2  1  -89.79012430  512.21461610
 2  1  -97.90560080  510.72553560
 2 -1   58.15454010  516.76312650
 2 -1   49.94827490  517.62075810
 2 -1   41.72943560  518.34808150
 2 -1   33.50009110  518.94491360
 2 -1   25.26231310  519.41110400
 2 -1   17.01817550  519.74653540
 2 -1    8.76975370  519.95112350
 2 -1    0.51912410  520.02481660
 2 -1   -7.73163620  519.96759630
 2 -1  -15.98045010  519.77947690
 2 -1  -24.22524100  519.46050580
 2 -1  -32.46393330  519.01076330
 2 -1  -40.69445300  518.43036260
 2 -1  -48.91472800  517.71944990
 2 -1  -57.12268910  516.87820400
 2 -1  -65.31626980  515.90683680
 2 -1  -73.49340750  514.80559290
 2 -1  -81.65204370  513.57474940
 2 -1  -89.79012430  512.21461610
 3  1   50.75227780  525.54841760
 3  1   42.40755730  526.28749940
 3  1   34.05216100  526.89409110
 3  1   25.68819210  527.36804010
 3  1   17.31775650  527.70922700
 3  1    8.94296110  527.91756590
 3  1    0.56591440  527.99300440
 3  1   -7.81127470  527.93552350
 3  1  -16.18649740  527.74513760
 3  1  -24.55764520  527.42189470
 3  1  -32.92261080  526.96587620
 3  1  -41.27928830  526.37719680
 3  1  -49.62557400  525.65600480
 3  1  -57.95936660  524.80248170
 3  1  -66.27856830  523.81684230
 3  1  -74.58108480  522.69933490
 3  1  -82.86482580  521.45024080
 3  1  -91.12770610  520.06987430
 3  1  -99.36764550  518.55858300
 3 -1   59.08422170  524.67703180
 3 -1   50.75227780  525.54841760
 3 -1   42.40755730  526.28749940
 3 -1   34.05216090  526.89409110
 3 -1   25.68819210  527.36804010
 3 -1   17.31775640  527.70922700
