l c x y
4 400 -22.320423 543.212484
4 401 -30.682898 542.804352
4 402 -39.038097 542.267491
4 403 -47.384038 541.602028
4 404 -55.718741 540.808123
4 405 -64.040231 539.885963
4 406 -72.346533 538.835767
5 0 1.375741 551.768044
5 1 -6.878535 551.726882
5 2 -15.131273 551.562246
5 3 -23.380624 551.274172
5 4 -31.624742 550.862726
5 5 -39.861783 550.327998
5 6 -48.089903 549.670108
5 7 -56.307261 548.889205
5 8 -64.512017 547.985462
5 9 -72.702336 546.959082
5 10 -80.876384 545.810294
5 412 67.243818 547.656951
5 413 59.043671 548.601597
5 414 50.830309 549.423467
5 415 42.605572 550.122379
5 416 34.371300 550.698176
5 417 26.129336 551.150728
5 418 17.881524 551.479934
5 419 9.629710 551.685722
6 0 1.395608 559.735813
6 1 -6.977864 559.694057
6 2 -15.349775 559.527044
6 3 -23.718250 559.234810
6 4 -32.081417 558.817422
6 5 -40.437405 558.274972
6 6 -48.784342 557.607583
6 7 -57.120362 556.815403
6 8 -65.443599 555.898609
6 9 -73.752189 554.857408
6 10 -82.044274 553.692031
6 412 68.214848 555.565354
6 413 59.896287 556.523641
6 414 51.564321 557.357380
6 415 43.220815 558.066385
6 416 34.867636 558.650496
6 417 26.506655 559.109583
6 418 18.139741 559.443543
6 419 9.768767 559.652302
7 410 90.459375 560.579273
7 411 82.296799 561.835613
7 412 74.116815 562.973105
7 413 65.921153 563.991508
7 414 57.711546 564.890606
7 415 49.489731 565.670210
7 416 41.257447 566.330153
7 417 33.016435 566.870298
7 418 24.768439 567.290529
7 419 16.515204 567.590757
7 420 8.258476 567.770920
7 421 0.000000 567.830978
7 422 -8.258476 567.770920
7 423 -16.515204 567.590757
7 424 -24.768439 567.290529
7 425 -33.016435 566.870298
7 426 -41.257447 566.330153
7 427 -49.489731 565.670210
7 428 -57.711546 564.890606
7 429 -65.921153 563.991508
7 430 -74.116815 562.973105
8 410 91.728980 568.447052
8 411 83.451842 569.721025
8 412 75.157051 570.874482
8 413 66.846362 571.907178
8 414 58.521532 572.818895
8 415 50.184323 573.609441
8 416 41.836498 574.278647
