l c x y
6 412 76.518143 554.482734
6 413 68.214848 555.565354
6 414 59.896287 556.523641
6 415 51.564321 557.357380
6 416 43.220815 558.066385
6 417 34.867636 558.650496
6 418 26.506655 559.109583
6 419 18.139741 559.443543
7 410 82.296799 561.835613
7 411 74.116815 562.973105
7 412 65.921153 563.991508
7 413 57.711546 564.890606
7 414 49.489731 565.670210
7 415 41.257447 566.330153
7 416 33.016435 566.870298
7 417 24.768439 567.290529
7 418 16.515204 567.590757
7 419 8.258476 567.770920
7 420 0.000000 567.830978
7 421 -8.258476 567.770920
7 422 -16.515204 567.590757
7 423 -24.768439 567.290529
7 424 -33.016435 566.870298
7 425 -41.257447 566.330153
7 426 -49.489731 565.670210
7 427 -57.711546 564.890606
7 428 -65.921153 563.991508
7 429 -74.116815 562.973105
7 430 -82.296799 561.835613
8 410 83.451842 569.721025
8 411 75.157051 570.874482
8 412 66.846362 571.907178
8 413 58.521532 572.818895
8 414 50.184323 573.609441
8 415 41.836498 574.278647
8 416 33.479824 574.826372
8 417 25.116067 575.252501
8 418 16.746997 575.556943
8 419 8.374384 575.739634
8 420 0.000000 575.800535
8 421 -8.374384 575.739634
8 422 -16.746997 575.556943
8 423 -25.116067 575.252501
8 424 -33.479824 574.826372
8 425 -41.836498 574.278647
8 426 -50.184323 573.609441
8 427 -58.521532 572.818895
8 428 -66.846362 571.907178
8 429 -75.157051 570.874482
8 430 -83.451842 569.721025
9 0 6.885505 583.848328
9 1 -1.377132 583.887304
9 2 -9.639493 583.809353
9 3 -17.899924 583.614490
9 4 -26.156771 583.302755
9 5 -34.408379 582.874209
9 6 -42.653097 582.328940
9 7 -50.889273 581.667055
9 8 -59.115259 580.888687
9 9 -67.329406 579.993993
9 10 -75.530070 578.983151
9 434 89.163422 577.040869
9 435 80.988878 578.244829
9 436 72.798115 579.332992
9 437 64.592774 580.305139
9 438 56.374498 581.161076
9 439 48.144932 581.900632
9 440 39.905725 582.523659
9 441 31.658527 583.030032
9 442 23.404989 583.419649
9 443 15.146764 583.692433
10 0 6.979506 591.818954
10 1 -1.395932 591.858462
