b/I ch/I l/I h/I w/I  xhv yhv xc yc xro yro
0  2   0   379  0  32.949049 510.995630 52.676876 508.953793 72.404702 506.911957
0  7   0   381  1  16.719625 511.783770 36.502303 510.368885 56.284981 508.954000
0  10  0   383  2  0.473366 512.056588 20.290976 511.270079 40.108585 510.483569
0  17  0   385  3  -15.773369 511.813808 4.059217 511.656467 23.891803 511.499125
0  20  0   387  4  -32.004223 511.055675 -12.176629 511.527660 7.650965 511.999645
0  29  0   389  5  -48.202850 509.782952 -28.400214 510.883788 -8.597578 511.984624
0  32  0   391  6  -64.352942 507.996921 -44.595203 509.725500 -24.837464 511.454078
0  39  0   393  7  -80.438235 505.699381 -60.745288 508.053961 -41.052340 510.408541
0  11  1   389  0  83.164826  521.45024  62.936192  523.86887  42.707557  526.28749 
0  14  1   391  1  66.578568  523.81684   46.28338  525.59244  25.988192  527.36804 
0  21  1   393  2  49.925574    525.656  29.584268  526.78678   9.242961  527.91756 
0  26  1   395  3  33.222611  526.96587  12.855668   527.4507  -7.511275  527.93552 
0  33  1   1    4  16.486497  527.74513  -3.885574  527.58351  -24.25764  527.42189 
0  36  1   3    5  -0.265914    527.993   -20.6226   527.1851  -40.97928  526.37719 
0  43  1   5    6  -17.01775  527.70922  -37.33856  526.25585  -57.65936  524.80248 
0  45  1   7    7  -33.75216  526.89409  -54.01662  524.79671  -74.28108  522.69933 
0  47  1   9    8  -50.45227  525.54841  -70.63999  522.80914   -90.8277  520.06987 
0  0   2   389  0  41.152323  542.49469  61.317991  540.20758  81.483659  537.92048 
0  5   2   391  1  24.426673  543.50314  44.653208  541.83812  64.879743  540.17311 
0  9   2   393  2   7.677901  543.99605  27.946117   542.9547  48.214333  541.91335 
0  12  2   395  3  -9.078107  543.97294  11.212564  543.55625  31.503236  543.13956 
0  19  2   397  4  -25.82545  543.43385  -5.531576   543.6422  14.762304  543.85056 
0  24  2   399  5  -42.54826  542.37927  -22.27042  543.21248  -1.992584  544.04569 
0  31  2   401  6  -59.23066  540.81021  -38.98809  542.26749  -18.74553  543.72476 
0  34  2   403  7  -75.85682  538.72817  -55.66874  540.80812  -35.48065  542.88807 
0  41  2   405  8  -92.41099   536.1351  -72.29653  538.83576  -52.18207  541.53642 
0  6   3   413  0  88.531902  553.10143  68.464848  555.56535  48.397795  558.02927 
0  13  3   415  1  71.946102  555.49487  51.814321  557.35738  31.682539  559.21988 
0  16  3   417  2  55.296125  557.39107  35.117636  558.65049  14.939147  559.90991 
0  25  3   419  3  38.596875  558.78833  18.389741  559.44354  -1.817393  560.09875 
0  28  3   1    4  21.863298   559.6854   1.645608  559.73581  -18.57208  559.78622 
0  35  3   3    5   5.110375  560.08147  -15.09977  559.52704  -35.30992   558.9726 
0  38  3   5    6  -11.64689   559.9762  -31.83141  558.81742  -52.01593  557.65863 
0  42  3   7    7  -28.39352  559.36967  -48.53434  557.60758  -68.67516  555.84549 
0  44  3   9    8   -45.1145  558.26243  -65.19359   555.8986  -85.27268  553.53478 
0  1   4   411  0  55.318239  573.50342  75.287051  570.87448  95.255864  568.24553 
0  3   4   413  1  38.614706  574.86594  58.651532  572.81889  78.688359  570.77185 
0  4   4   415  2   21.87861  575.74206  41.966498  574.27864  62.054386  572.81523 
0  8   4   417  3   5.124114  576.13104  25.246067   575.2525  45.368019  574.37395 
0  15  4   419  4   -11.6346  576.03256   8.504384  575.73963  28.643376   575.4467 
0  18  4   421  5  -28.38337   575.4467  -8.244384  575.73963  11.894608  576.03256 
0  27  4   423  6  -45.10801  574.37395  -24.98606   575.2525  -4.864114  576.13104 
0  30  4   425  7  -61.79438  572.81523  -41.70649  574.27864  -21.61861  575.74206 
0  37  4   427  8  -78.42835  570.77185  -58.39153  572.81889   -38.3547  574.86594 
0  40  4   429  9  -94.99586  568.24553  -75.02705  570.87448  -55.05823  573.50342 
1  6   5   435  0  102.26562  583.35581  82.394528  586.13895  62.523429  588.92209 
1  10  5   437  1  85.716487  586.00769  65.774586  588.22739  45.832686  590.44709 
1  14  5   439  2  69.098929  588.19019  49.102201  589.84466  29.105472  591.49914 
1  18  5   441  3  52.426265  589.90155  32.390725  590.98948  12.355185  592.07741 
1  24  5   443  4  35.711849  591.14041  15.653546  591.66093  -4.404758  592.18144 
1  28  5   1    5  18.969068  591.90578  -1.095932  591.85846  -21.16093  591.81113 
1  32  5   3    6   2.211333  592.19704  -17.84429  591.58192  -37.89991   590.9668 
1  36  5   5    7  -14.54793  592.01396  -34.57811  590.83153   -54.6083  589.64911 
1  41  5   7    8   -31.2953  591.35668    -51.284   589.6079   -71.2727  587.85911 
1  43  5   9    9  -48.01737  590.22574  -67.94857    587.912  -87.87978  585.59825 
1  1   6   435  0  61.790457  605.18658  81.602949  602.53191  101.41544  599.87725 
1  3   6   437  1  45.091807  606.63542  64.969924  604.52768  84.848042  602.41994 
1  4   6   439  2  28.359577  607.62358  48.288223  606.06438   68.21687  604.50517 
1  8   6   441  3  11.606471  608.15033  31.570514  607.14083  51.534557  606.13134 
1  12  6   443  4  -5.154789  608.21526   14.82949  607.75624  34.813769  607.29722 
1  16  6   445  5  -21.91147  607.81831  -1.922134  607.91012  18.067205  608.00194 
1  20  6   447  6  -38.65085   606.9598  -18.67163  607.60237   1.307582  608.24494 
1  26  6   449  7  -55.36022  605.64037   -35.4063  606.83321  -15.45237  608.02605 
1  30  6   451  8   -72.0269  603.86103  -52.11341  605.60323  -32.19993  607.34543 
1  34  6   453  9  -88.63821  601.62312  -68.78029  603.91336  -48.92238  606.20361 
1  38  6   455  10 -105.1815  598.92835  -85.39428  601.76489  -65.60701  604.60144 
1  5   7   457  0  107.58639  614.98244  87.869337  617.78049  68.152281  620.57854 
1  9   7   459  1  91.036639  617.64387  71.251568  619.91154  51.466498  622.17922 
1  13  7   461  2  74.421396     619.86  54.582575  621.59568  34.743754  623.33135 
1  17  7   463  3  57.752645  621.62926  37.874376  622.83167  17.996107  624.03408 
1  21  7   465  4    41.0424  622.95035  21.139015  623.61864   1.235629  624.28693 
1  27  7   467  5  24.302711  623.82233   4.388558  623.95601  -15.52559  624.08969 
1  31  7   1    6   7.545645  624.24457  -12.36491  623.84355  -32.27548  623.44253 
1  35  7   3    7  -9.216716  624.21676  -29.10933  623.28133  -49.00195  622.34589 
1  39  7   5    8  -25.97228  623.73893  -45.83262  622.26975  -65.69295  620.80058 
1  40  7   7    9  -42.70899  622.81141  -62.52272  620.80956  -82.33645   618.8077 
1  42  7   9    10 -59.41476  621.43489   -79.1676   618.9018  -98.92044   616.3687 
1  0   8   0    0   58.3066  637.6682225  77.998926  635.25030 97.6912533  632.8323961 
1  2   8   0    1   41.5944  638.9759986  61.343278  637.07439 81.092156   635.1727991 
1  7   8   0    2   24.8537  639.8458525  44.645591  638.46186 64.4374822  637.0778864 
1  11  8   0    3   8.096 640.2771879     27.917323  639.41177 47.7386462  638.5463524 
1  15  8   0    4   -8.66728 640.2697094  11.169906  639.92345 31.0070925  639.5771906 
1  19  8   0    5   -25.4246 639.8234219  -5.585155  639.99655 14.2542881  640.1696945 
1  25  8   0    6   -42.1645 638.9386315  -22.33639  639.63104 -2.5082855  640.3234581 
1  29  8   0    7   -58.8755 637.6159444  -39.07232  638.82716 -19.2691401 640.038376  
1  33  8   0    8   -75.5462 635.8562673  -55.78149  637.58545 -36.0167885 639.3146435 
1  37  8   0    9   -92.1651 633.660806   -72.45242  635.90678 -52.7397528 638.1527568 
