b/I       ch/I       l/I       h/I        w/I  xhv        yhv        xc         yc         xro        yro
1         39          7          5          8  -26.17228  623.73893  -46.03262  622.26975  -65.89295  620.80058 
1         40          7          7          9  -42.90899  622.81141  -62.72272  620.80956  -82.53645  618.80770 
1         42          7          9         10  -59.61476  621.43489  -79.36760   618.9018  -99.12044  616.36870 
1          0          8          0          0    58.3066  637.66822  77.998926   635.2503  97.691253  632.83239 
1          2          8          0          1    41.5944  638.97599  61.343278  637.07439  81.092156  635.17279 
1          7          8          0          2    24.8537  639.84585  44.645591  638.46186  64.437482  637.07788 
1         11          8          0          3      8.096  640.27718  27.917323  639.41177  47.738646  638.54635 
1         15          8          0          4   -8.66728  640.26970  11.169906  639.92345  31.007092  639.57719 
1         19          8          0          5  230.60918  639.82342  -5.585155  639.99655  14.254288  640.16969 
1         25          8          0          6   -42.1645  638.93863  -22.33639  639.63104  -2.508285  640.32345 
1         29          8          0          7   -58.8755  637.61594  -39.07232  638.82716  -19.26914  640.03837 
1         33          8          0          8   -75.5462  635.85626  -55.78149  637.58545  -36.01678  639.31464 
1         37          8          0          9   -92.1651  633.66080  -72.45242  635.90678  -52.73975  638.15275 
