run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I
000100 0  1 0:02:32 2250 2250 2250 3702 3676 30.0975 29.9922 30 30
000101 0  1 0:02:33 2250 2250 2250 3727 3699 24.9438 25.0294 25 25
000102 0  1 0:02:36 2250 2250 2250 3751 3722 19.9963 20.0667 20 20
000103 0  1 0:02:41 2250 2250 2250 3775 3745 15.0487 15.1040 15 15
000104 0  1 0:02:36 2250 2250 2250 3799 3769 10.1012  9.9255 10 10
000105 0  1 0:02:38 2350 2350 2350 3799 3769 10.1012  9.9255 10 10
000106 0  1 0:02:37 2350 2350 2350 3775 3745 15.0487 15.1040 15 15
000107 0  1 0:02:42 2350 2350 2350 3751 3722 19.9963 20.0667 20 20
000108 0  1 0:03:01 2350 2350 2350 3727 3699 24.9438 25.0294 25 25
000109 0  1 0:02:35 2350 2350 2350 3702 3676 30.0975 29.9922 30 30
000110 0  1 0:15:21 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000111 0  1 0:15:46 2300 2300 2300 3727 3699 24.9438 25.0294 25 25
000112 0  1 0:15:06 2200 2200 2200 3751 3722 19.9963 20.0667 20 20
000113 0  1 0:15:04 2200 2200 2200 3727 3699 24.9438 25.0294 25 25
000114 0  1 0:15:41 2200 2200 2200 3727 3699 24.9438 25.0294 25 25
000115 0  1 0:15:52 2200 2200 2200 3751 3722 19.9963 20.0667 20 20
000116 0  1 0:15:39 2300 2300 2300 3727 3699 24.9438 25.0294 25 25
000117 0  1 0:15:38 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000118 0  1 0:03:08 2300 2300 2300 3678 3653 35.0450 34.9549 35 35
000119 0  1 0:02:56 2300 2300 2300 3654 3630 39.9925 39.9176 40 40
000120 0  2 0:03:08 2300 2300 2300 3751 3722 19.9963 20.0667 20 20
000121 0  1 0:02:38 2400 2400 2400 3678 3653 35.0450 34.9549 35 35
000122 0  1 0:03:10 2400 2400 2400 3654 3630 39.9925 39.9176 40 40
000123 0  1 0:02:46 2200 2200 2200 3654 3630 39.9925 39.9176 40 40
000124 0  1 0:02:44 2200 2200 2200 3678 3653 35.0450 34.9549 35 35
000125 0 10 0:00:52 2200 2200 2200 3678 3653 35.0450 34.9549 35 35
000126 0  5 0:00:46 2200 2200 2200 3678 3653 35.0450 34.9549 35 35
000127 0 10 0:00:34 2200 2200 2200 3678 3653 35.0450 34.9549 35 35
001001 1  5 0:01:15 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001002 1  2 0:01:27 1800 1800 1800 3751 3722 19.9963 20.0667 20 20
001003 1  2 0:01:13 1900 1900 1900 3751 3722 19.9963 20.0667 20 20
001004 1  2 0:01:25 1700 1700 1700 3751 3722 19.9963 20.0667 20 20
001005 1  2 0:01:06 1600 1600 1600 3751 3722 19.9963 20.0667 20 20
001006 1  2 0:01:23 1500 1500 1500 3751 3722 19.9963 20.0667 20 20
001007 1  2 0:01:23 1400 1400 1400 3751 3722 19.9963 20.0667 20 20
