run_number/I gas_mixture_id/I run_grade/I duration/C hv_ch0/I hv_ch1/I hv_ch2/I recbe_dac_bd0/I recbe_dac_bd1/I recbe_th_bd0/D recbe_th_bd1/D recbe_th_input_bd0/I recbe_th_input_bd1/I t00 t01 aa sum
000083 0  1 0:02:43 2100 2100 2100 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000084 0  1 0:02:37 2100 2100 2100 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000085 0  1 0:02:36 2000 2000 2000 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000086 0  1 0:02:38 2000 2000 2000 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000087 0  1 0:02:39 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000088 0  1 0:02:33 2000 2000 2000 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000089 0  1 0:02:34 2000 2000 2000 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
000090 0  1 0:02:34 1900 1900 1900 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
000091 0  1 0:02:36 1900 1900 1900 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000092 0  1 0:02:35 1900 1900 1900 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000093 0  1 0:02:39 1900 1900 1900 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000094 0  1 0:02:33 1900 1900 1900 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000095 0  1 0:02:30 1800 1800 1800 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000096 0  1 0:02:34 1800 1800 1800 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000097 0  1 0:02:32 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000098 0  1 0:02:36 1800 1800 1800 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000099 0  1 0:02:33 1800 1800 1800 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
000100 0  1 0:02:32 2250 2250 2250 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
000101 0  1 0:02:33 2250 2250 2250 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000102 0  1 0:02:36 2250 2250 2250 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000103 0  1 0:02:41 2250 2250 2250 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000104 0  1 0:02:36 2250 2250 2250 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000105 0  1 0:02:38 2350 2350 2350 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
000106 0  1 0:02:37 2350 2350 2350 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
000107 0  1 0:02:42 2350 2350 2350 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000108 0  1 0:03:01 2350 2350 2350 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000109 0  1 0:02:35 2350 2350 2350 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
000110 0  1 0:15:21 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -866 -866 46   30
000111 0  1 0:15:46 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
000112 0  1 0:15:06 2200 2200 2200 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
000113 0  1 0:15:04 2200 2200 2200 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
000114 0  1 0:15:41 2200 2200 2200 3727 3699 24.9438 25.0294 25 25  -849 -849 0    0
000115 0  1 0:15:52 2200 2200 2200 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
000116 0  1 0:15:39 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -849 -849 46   30
000117 0  1 0:15:38 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -844 -844 46   30
000118 0  1 0:03:08 2300 2300 2300 3678 3653 35.0450 34.9549 35 35  -858 -858 46   30
000119 0  1 0:02:56 2300 2300 2300 3654 3630 39.9925 39.9176 40 40  -866 -866 46   30
000120 0  2 0:03:08 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -866 -866 46   30
000121 0  1 0:02:38 2400 2400 2400 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
000122 0  1 0:03:10 2400 2400 2400 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
000123 0  1 0:02:46 2200 2200 2200 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
000124 0  1 0:02:44 2200 2200 2200 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
000125 0 10 0:00:52 2200 2200 2200 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
000126 0  5 0:00:46 2200 2200 2200 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
000127 0 10 0:00:34 2200 2200 2200 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
001001 1  5 0:01:15 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001002 1  2 0:01:27 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001003 1  2 0:01:13 1900 1900 1900 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001004 1  2 0:01:25 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001005 1  2 0:01:06 1600 1600 1600 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001006 1  2 0:01:23 1500 1500 1500 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001007 1  2 0:01:23 1400 1400 1400 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001008 1 10 0:00:38 1800 1800 1800 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001009 1  1 0:01:30 1800 1800 1800 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001010 1  1 0:02:43 1800 1800 1800 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001011 1  1 0:02:06 1800 1800 1800 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001012 1  1 0:02:04 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -861 -861 46   30
001013 1  1 0:02:05 1800 1800 1800 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001014 1  1 0:02:07 1800 1800 1800 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001015 1  1 0:02:45 1700 1700 1700 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001016 1  1 0:02:06 1700 1700 1700 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001017 1  1 0:02:18 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001018 1  1 0:02:20 1700 1700 1700 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001019 1  1 0:02:26 1700 1700 1700 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001020 1  1 0:02:10 1600 1600 1600 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001021 1  1 0:02:06 1600 1600 1600 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001022 1  1 0:02:16 1600 1600 1600 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001023 1  1 0:02:07 1600 1600 1600 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001024 1  1 0:02:07 1600 1600 1600 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001025 1  1 0:02:08 1500 1500 1500 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001026 1  1 0:02:25 1500 1500 1500 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001027 1  1 0:02:19 1500 1500 1500 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001028 1  1 0:02:16 1500 1500 1500 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001029 1  1 0:02:24 1500 1500 1500 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001030 1  1 0:02:01 1400 1400 1400 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001031 1  1 0:02:06 1400 1400 1400 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001032 1  1 0:02:22 1400 1400 1400 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001033 1  1 0:02:13 1400 1400 1400 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001034 1  1 0:02:26 1400 1400 1400 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001035 1  1 0:02:08 1800 1800 1800 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
001036 1  1 0:02:04 1800 1800 1800 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
001037 1  1 0:02:42 1700 1700 1700 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
001038 1  1 0:02:26 1700 1700 1700 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
001039 1  1 0:02:07 1600 1600 1600 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
001040 1  1 0:02:04 1600 1600 1600 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
001041 1  1 0:02:20 1650 1650 1650 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001042 1  1 0:02:07 1650 1650 1650 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001043 1  1 0:02:03 1650 1650 1650 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001044 1  1 0:02:15 1650 1650 1650 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001045 1  1 0:02:04 1650 1650 1650 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001046 1  1 0:02:06 1750 1750 1750 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001047 1  1 0:02:04 1750 1750 1750 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001048 1  1 0:02:32 1750 1750 1750 3751 3722 19.9963 20.0667 20 20  -866 -866 30   0
001049 1  1 0:02:47 1750 1750 1750 3775 3745 15.0487 15.1040 15 15  -866 -866 30   0
001050 1  1 0:02:18 1750 1750 1750 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001051 1  1 0:02:28 1830 1830 1830 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
001052 1  1 0:02:36 1830 1830 1830 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
001053 1  1 0:02:05 1830 1830 1830 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001054 1  1 0:02:30 1830 1830 1830 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
001055 1  1 0:02:12 1830 1830 1830 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001066 1  1 0:15:34 1700 1700 1700 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001067 1  1 0:15:12 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001068 1  1 0:15:07 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
001069 1  1 0:15:28 1800 1800 1800 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001070 1  1 0:15:12 1800 1800 1800 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
001071 1  1 ?:??:?? 1700 1700 1700 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
001072 1  1 0:15:32 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
001073 1  1 0:15:08 1700 1700 1700 3702 3676 30.0975 29.9922 30 30  -849 -849 0    0
001074 1  1 0:14:16 1700 1700 1700 3678 3653 35.0450 34.9549 35 35  -849 -849 0    0
001075 1  1 0:14:54 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
001076 1  1 0:15:35 1800 1800 1800 3702 3676 30.0975 29.9922 30 30  -849 -849 0    0
001077 1  1 0:15:17 1800 1800 1800 3678 3653 35.0450 34.9549 35 35  -849 -849 0    0
001078 1  5 0:01:07 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
001079 1  5 0:00:50 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
002001 2  5 0:01:02 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -849 -849 0    0
002002 2  2 0:01:10 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002003 2  2 0:01:09 1900 1900 1900 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002004 2  2 0:01:08 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002005 2  2 0:01:29 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002006 2  1 0:02:06 2000 2000 2000 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002007 2  1 0:01:56 2000 2000 2000 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002008 2  1 0:02:07 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002009 2  1 0:01:59 2000 2000 2000 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002010 2  1 0:02:00 2000 2000 2000 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002011 2  1 0:02:05 2000 2000 2000 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002012 2  1 0:01:58 2000 2000 2000 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
002013 2  1 0:02:14 1950 1950 1950 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002014 2  1 0:02:14 1950 1950 1950 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002015 2  1 0:02:05 1950 1950 1950 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002016 2  1 0:02:05 1950 1950 1950 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002017 2  1 0:02:05 1950 1950 1950 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002018 2  1 0:02:04 1950 1950 1950 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002019 2  1 0:02:03 1950 1950 1950 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
002020 2  1 0:02:15 1900 1900 1900 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002021 2  1 0:02:10 1900 1900 1900 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002022 2  1 0:02:08 1900 1900 1900 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002023 2  1 0:02:08 1900 1900 1900 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002024 2  1 0:02:10 1900 1900 1900 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002025 2  1 0:02:27 1850 1850 1850 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002026 2  1 0:02:04 1850 1850 1850 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002027 2  1 0:02:04 1850 1850 1850 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002028 2  1 0:02:05 1850 1850 1850 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002029 2  1 0:02:13 1850 1850 1850 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002030 2  1 0:02:06 1800 1800 1800 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002031 2  1 0:02:04 1800 1800 1800 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002032 2  1 0:02:03 1800 1800 1800 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002033 2  1 0:02:10 1800 1800 1800 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002034 2  1 0:02:07 1800 1800 1800 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002035 2  1 0:02:05 2030 2030 2030 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002036 2  1 0:02:08 2030 2030 2030 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002037 2  1 0:02:17 2030 2030 2030 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002038 2  1 0:02:19 2030 2030 2030 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002039 2  1 0:02:05 2030 2030 2030 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002040 2  1 0:02:03 2030 2030 2030 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002041 2  1 0:02:16 2030 2030 2030 3654 3630 39.9925 39.9176 40 40  -866 -866 0    0
002042 2  1 0:02:08 2020 2020 2020 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002043 2  1 0:02:07 2020 2020 2020 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002044 2  1 0:01:59 2020 2020 2020 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002045 2  1 0:01:56 2020 2020 2020 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002046 2  1 0:01:54 2020 2020 2020 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002047 2  1 0:01:56 2010 2010 2010 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002048 2 10 0:01:53 2010 2010 2010 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002049 2  1 0:02:03 2010 2010 2010 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002050 2 10 0:00:48 0    0    0    0    0    0       0       0  0   -866 -866 0    0
002051 2  1 0:02:39 2010 2010 2010 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002052 2  1 0:01:56 2010 2010 2010 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
002053 2  1 0:01:55 2010 2010 2010 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002054 2  1 0:01:53 1700 1700 1700 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002055 2  1 0:02:03 1700 1700 1700 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002056 2  1 0:02:01 1700 1700 1700 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002057 2  1 0:01:52 2035 2035 2035 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002058 2  2 0:05:00 2035 2035 2035 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002059 2  2 0:01:52 2000 2030 2000 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002060 2  2 0:05:06 2000 2035 2000 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
002061 2  1 0:15:23 2020 2020 2020 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002062 2  1 0:14:57 2020 2020 2020 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002063 2  1 0:15:08 2020 2020 2020 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002064 2 10 0:00:03 2020 2020 2020 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002065 2  1 0:15:23 2000 2000 2000 3678 3653 35.0450 34.9549 35 35  -866 -866 0    0
002066 2  1 0:15:20 2000 2000 2000 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
002067 2  1 0:15:01 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002068 2  5 0:00:46 2000 2000 2000 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
002069 2  5 0:00:48 2000 2000 2000 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
002070 2  5 0:00:47 2000 2000 2000 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
003001 0  5 0:00:39 2300 2300 2300 3702 3676 30.0975 29.9922 30 30  -866 -866 46   30
003002 0  5 0:02:11 2300 2300 2300 3702 3676 30.0975 29.9922 30 30  -866 -866 46   30
003003 0  1 0:02:14 2300 2300 2300 3702 3676 30.0975 29.9922 30 30  -866 -866 46   30
003004 0  1 0:02:16 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
003005 0  1 0:02:09 2300 2300 2300 3751 3722 19.9963 20.0667 20 20  -866 -866 46   30
003006 0  1 0:02:17 2300 2300 2300 3775 3745 15.0487 15.1040 15 15  -866 -866 46   30
003007 0  1 0:02:08 2300 2300 2300 3799 3769 10.1012  9.9255 10 10  -866 -866 46   30
003008 0  1 0:02:38 2200 2200 2200 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
003009 0  1 0:02:14 2200 2200 2200 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
003010 0  1 0:02:16 2200 2200 2200 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003011 0  1 0:02:10 2200 2200 2200 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
003012 0  1 0:02:07 2200 2200 2200 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
003013 0  1 0:02:08 2150 2150 2150 3702 3676 30.0975 29.9922 30 30  -866 -866 0    0
003014 0  1 0:02:17 2150 2150 2150 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
003015 0  1 0:02:14 2150 2150 2150 3751 3722 19.9963 20.0667 20 20  -866 -866 0    0
003016 0  1 0:02:05 2150 2150 2150 3775 3745 15.0487 15.1040 15 15  -866 -866 0    0
003017 0  1 0:02:07 2150 2150 2150 3799 3769 10.1012  9.9255 10 10  -866 -866 0    0
003018 0  1 0:30:03 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
003019 0  1 0:30:03 2400 2400 2400 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
003020 0  1 0:30:05 2400 2400 2400 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
003021 0  1 0:30:02 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
003022 0  5 0:00:45 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
003023 0  1 0:30:06 2300 2300 2300 3727 3699 24.9438 25.0294 25 25  -866 -866 46   30
003024 0  1 0:30:05 2400 2400 2400 3727 3699 24.9438 25.0294 25 25  -866 -866 0    0
