l1/I l2/I w1/I w2/I z x
3 4 0 5 570.684954 29.988751
3 4 0 6 695.726144 21.613137
3 4 0 7 821.062898 13.217725
3 4 0 8 946.749260 4.798896
3 4 0 9 1072.839805 -3.647006
3 4 1 0 -176.257447 63.408626
3 4 1 1 -51.888190 55.051150
3 4 1 2 72.459812 46.695101
3 4 1 3 196.838886 38.336964
3 4 1 4 321.301430 29.973219
3 4 1 5 445.899972 21.600334
3 4 1 6 570.687274 13.214765
3 4 1 7 695.716413 4.812945
3 4 1 8 821.040905 -3.608723
3 4 1 9 946.714710 -12.053864
3 4 2 0 -300.645475 55.117553
3 4 2 1 -176.210294 46.736246
3 4 2 2 -51.848879 38.359907
3 4 2 3 72.491115 29.985011
3 4 2 4 196.862024 21.608033
3 4 2 5 321.316219 13.225445
3 4 2 6 445.906220 4.833710
3 4 2 7 570.684767 -3.570725
3 4 2 8 695.704950 -11.991435
3 4 2 9 821.020212 -20.432020
3 4 3 0 -425.168103 46.817508
3 4 3 1 -300.611045 38.416082
3 4 3 2 -176.180396 30.023183
3 4 3 3 -51.823700 21.635271
3 4 3 4 72.511410 13.248816
3 4 3 5 196.877245 4.860288
3 4 3 6 321.326175 -3.533844
3 4 3 7 445.910702 -11.937123
3 4 3 8 570.683584 -20.353106
3 4 3 9 695.697849 -28.785371
3 4 4 0 -549.881690 38.504735
3 4 4 1 -425.146580 30.086904
3 4 4 2 -300.590753 21.681172
3 4 4 3 -176.161542 13.283985
3 4 4 4 -51.806458 4.891800
3 4 4 5 72.526846 -3.498914
3 4 4 6 196.890683 -11.891690
3 4 4 7 321.337413 -20.290059
3 4 4 8 445.919557 -28.697567
3 4 4 9 570.689825 -37.117770
3 4 5 0 -674.842901 30.175456
3 4 5 1 -549.873247 21.744942
3 4 5 2 -425.136072 13.330111
3 4 5 3 -300.578407 4.927391
3 4 5 4 -176.147542 -3.466776
3 4 5 5 -51.791002 -11.855929
3 4 5 6 72.543564 -20.243599
3 4 5 7 196.908468 -28.633316
3 4 5 8 321.356089 -37.028613
3 4 5 9 445.938915 -45.433031
3 4 6 0 -800.108881 21.825863
3 4 6 1 -674.847765 13.386404
3 4 6 2 -549.872745 4.966220
3 4 6 3 -425.130452 -3.438283
3 4 6 4 -300.567861 -11.830679
3 4 6 5 -176.132275 -20.214518
3 4 6 6 -51.771208 -28.593336
3 4 6 7 72.567697 -36.970661
3 4 6 8 196.936772 -45.350019
3 4 6 9 321.388375 -53.734937
3 4 7 0 -925.737310 13.452110
3 4 7 1 -800.127285 5.007466
3 4 7 2 -674.857493 -3.414305
3 4 7 3 -549.874066 -11.816823
3 4 7 4 -425.123567 -20.203683
3 4 7 5 -300.552981 -28.578447
3 4 7 6 -176.109593 -36.944659
3 4 7 7 -51.740908 -45.305849
3 4 7 8 72.605455 -53.665539
3 4 7 9 196.981819 -62.027245
3 4 8 0 -1051.786550 5.050309
3 4 8 1 -925.769534 -3.395731
3 4 8 2 -800.147507 -11.815299
3 4 8 3 -674.866004 -20.212043
3 4 8 4 -549.871076 -28.589580
3 4 8 5 -425.109293 -36.951491
3 4 8 6 -300.527618 -45.301331
3 4 8 7 -176.073319 -53.642634
3 4 8 8 -51.693874 -61.978919
3 4 8 9 72.663101 -70.313699
4 5 0 0 52.167884 78.634297
4 5 0 1 -72.680267 70.312555
4 5 0 2 -197.558142 61.988830
4 5 0 3 -322.515542 53.659806
4 5 0 4 -447.602404 45.322152
4 5 0 5 -572.868886 36.972525
4 5 0 6 -698.365422 28.607564
4 5 0 7 -824.142811 20.223883
4 5 0 8 -950.252299 11.818066
4 5 0 9 -1076.745708 3.386659
4 5 1 0 176.960235 70.356977
4 5 1 1 52.103477 62.006314
4 5 1 2 -72.733138 53.656999
4 5 1 3 -197.599347 45.305704
4 5 1 4 -322.544942 36.949100
4 5 1 5 -447.619851 28.583848
4 5 1 6 -572.874202 20.206594
4 5 1 7 -698.358406 11.813966
4 5 1 8 -824.123236 3.402570
4 5 1 9 -950.219953 -5.031023
4 5 2 0 301.827019 62.074719
4 5 2 1 176.908672 53.698646
4 5 2 2 52.060370 45.327270
4 5 2 3 -72.767646 36.957254
4 5 2 4 -197.625105 28.585264
4 5 2 5 -322.561793 20.207961
4 5 2 6 -447.627617 11.822000
4 5 2 7 -572.872686 3.424020
4 5 2 8 -698.347389 -4.989358
4 5 2 9 -824.102518 -13.421539
4 5 3 0 426.821454 53.783994
4 5 3 1 301.788428 45.386015
4 5 3 2 176.875467 36.996100
4 5 3 3 52.032708 28.610900
4 5 3 4 -72.789602 20.227074
4 5 3 5 -197.641189 11.841281
4 5 3 6 -322.571825 3.450179
4 5 3 7 -447.631406 -4.949584
4 5 3 8 -572.870022 -13.361372
4 5 3 9 -698.338083 -21.788571
4 5 4 0 551.996978 45.481258
4 5 4 1 426.795989 37.064876
4 5 4 2 301.765292 28.659942
4 5 4 3 176.854830 20.263090
4 5 4 4 52.014746 11.870969
4 5 4 5 -72.804713 3.480235
